Country,ISO (3),Continent,Region
Ukraine,UKR,Europe,Eastern Europe
United Arab Emirates,ARE,Asia,South West Asia
United Kingdom,GBR,Europe,Western Europe
United States,USA,Americas,North America
Uruguay,URY,Americas,South America
Uzbekistan,UZB,Asia,Central Asia
"Venezuela, RB",VEN,Americas,South America
Vietnam,VNM,Asia,South East Asia
"Yemen, Rep.",YEM,Asia,South West Asia
Liechtenstein,LIE,Europe,Western Europe
